states_or_union_territories,district,year,murder,rape,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,robbery,thefts,riots,criminal_breach_of_trust,cheating,arson,hurt_or_grievous_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,causing_death_by_negligence,total_ipc_crimes
BIHAR,WEST CHAMPARAN,2005,76.0,51.0,24.0,90.0,33.0,33.0,306.0,304.0,33.0,93.0,20.0,1389.0,19.0,6.0,,41.0,40.0,3075.0
BIHAR,KAMIPUR,2005,58.0,14.0,14.0,27.0,21.0,21.0,151.0,82.0,33.0,36.0,33.0,130.0,16.0,1.0,,5.0,65.0,1255.0
BIHAR,BHAGALPUR,2005,93.0,75.0,52.0,49.0,14.0,58.0,394.0,254.0,66.0,67.0,25.0,29.0,18.0,15.0,,55.0,87.0,3104.0
BIHAR,BHOJPUR,2005,158.0,14.0,36.0,2.0,32.0,46.0,293.0,194.0,52.0,14.0,46.0,512.0,38.0,34.0,,44.0,69.0,2853.0
BIHAR,BUXAR,2005,68.0,6.0,14.0,16.0,35.0,35.0,312.0,153.0,26.0,78.0,23.0,362.0,30.0,14.0,,58.0,38.0,1644.0
BIHAR,DARBHANGA,2005,44.0,65.0,22.0,32.0,27.0,20.0,285.0,211.0,63.0,96.0,27.0,89.0,33.0,31.0,,137.0,66.0,3140.0
BIHAR,GAYA,2005,158.0,22.0,20.0,57.0,112.0,129.0,410.0,405.0,20.0,23.0,32.0,532.0,8.0,28.0,,11.0,40.0,3418.0
BIHAR,GOPALGANJ,2005,74.0,24.0,51.0,14.0,10.0,53.0,205.0,188.0,77.0,81.0,9.0,4.0,25.0,2.0,6.0,49.0,52.0,2543.0
BIHAR,MUNGER,2005,7.0,,1.0,2.0,13.0,7.0,108.0,3.0,,7.0,,,,1.0,,,,195.0
BIHAR,JAMUI,2005,93.0,33.0,13.0,33.0,39.0,44.0,102.0,109.0,6.0,29.0,59.0,205.0,22.0,20.0,,48.0,21.0,1409.0
BIHAR,JEHANABAD,2005,52.0,16.0,2.0,17.0,35.0,35.0,150.0,95.0,3.0,14.0,13.0,81.0,7.0,14.0,,17.0,31.0,1191.0
BIHAR,KATIHAR,2005,78.0,88.0,53.0,8.0,19.0,34.0,146.0,124.0,15.0,34.0,16.0,129.0,26.0,10.0,,55.0,50.0,1785.0
BIHAR,KATIHAR,2005,11.0,2.0,4.0,3.0,2.0,13.0,214.0,8.0,,20.0,,,1.0,7.0,,,,432.0
BIHAR,KHAGARIA,2005,48.0,14.0,15.0,20.0,12.0,39.0,14.0,140.0,5.0,4.0,10.0,120.0,12.0,5.0,,12.0,100.0,1439.0
BIHAR,KISHANGANJ,2005,17.0,61.0,81.0,3.0,10.0,10.0,122.0,95.0,27.0,24.0,7.0,102.0,3.0,2.0,,30.0,15.0,1017.0
BIHAR,LAKHISARAI,2005,57.0,3.0,17.0,21.0,8.0,33.0,81.0,56.0,8.0,13.0,10.0,36.0,8.0,6.0,,6.0,43.0,840.0
BIHAR,MADHEPURA,2005,52.0,15.0,9.0,4.0,17.0,38.0,50.0,100.0,6.0,16.0,5.0,119.0,10.0,6.0,,11.0,38.0,1137.0
BIHAR,MADHUBANI,2005,69.0,42.0,,66.0,45.0,31.0,196.0,313.0,54.0,19.0,23.0,867.0,17.0,35.0,,26.0,27.0,2835.0
BIHAR,EAST CHAMPARAN,2005,111.0,24.0,38.0,96.0,52.0,67.0,437.0,366.0,87.0,71.0,30.0,1043.0,51.0,13.0,,43.0,76.0,4564.0
BIHAR,MUNGER,2005,95.0,18.0,11.0,43.0,19.0,64.0,219.0,154.0,9.0,32.0,8.0,70.0,11.0,10.0,,16.0,41.0,1749.0
BIHAR,MUZAFFARPUR,2005,131.0,80.0,14.0,211.0,48.0,95.0,763.0,407.0,126.0,107.0,47.0,685.0,67.0,17.0,,104.0,153.0,5363.0
BIHAR,MUZAFFARPUR,2005,26.0,1.0,2.0,9.0,10.0,15.0,275.0,19.0,,14.0,,13.0,,,,,8.0,583.0
BIHAR,NALANDA,2005,150.0,25.0,21.0,73.0,39.0,89.0,312.0,169.0,47.0,67.0,21.0,661.0,65.0,10.0,1.0,92.0,142.0,3000.0
BIHAR,BHAGALPUR,2005,43.0,6.0,5.0,31.0,12.0,40.0,65.0,109.0,2.0,18.0,,,9.0,,,6.0,,999.0
BIHAR,NAWADA,2005,83.0,23.0,11.0,30.0,16.0,30.0,117.0,266.0,17.0,40.0,10.0,149.0,22.0,13.0,,32.0,77.0,1732.0
BIHAR,PATNA,2005,436.0,57.0,59.0,216.0,127.0,633.0,1356.0,484.0,47.0,199.0,46.0,392.0,85.0,5.0,2.0,189.0,452.0,11840.0
BIHAR,PATNA,2005,15.0,,,2.0,15.0,27.0,601.0,6.0,1.0,21.0,,,2.0,6.0,,,,950.0
BIHAR,PURNEA,2005,113.0,39.0,7.0,53.0,38.0,95.0,218.0,152.0,8.0,20.0,9.0,22.0,6.0,6.0,,16.0,55.0,2169.0
BIHAR,ROHTAS,2005,107.0,18.0,7.0,22.0,23.0,26.0,315.0,137.0,2.0,14.0,23.0,85.0,37.0,12.0,,7.0,205.0,3384.0
BIHAR,SAHARSA,2005,17.0,11.0,2.0,38.0,6.0,28.0,112.0,185.0,26.0,34.0,10.0,102.0,5.0,19.0,,12.0,33.0,1441.0
BIHAR,SAMASTIPUR,2005,121.0,28.0,4.0,93.0,19.0,61.0,291.0,302.0,46.0,57.0,59.0,306.0,40.0,10.0,,73.0,54.0,3452.0
BIHAR,SARAN,2005,125.0,32.0,43.0,42.0,52.0,24.0,321.0,170.0,12.0,70.0,26.0,1198.0,76.0,4.0,1.0,58.0,107.0,3233.0
BIHAR,SHEIKHPURA,2005,33.0,1.0,3.0,20.0,4.0,14.0,51.0,58.0,,11.0,,,12.0,,,17.0,,683.0
BIHAR,SHEOHAR,2005,11.0,9.0,14.0,12.0,15.0,6.0,28.0,78.0,5.0,6.0,3.0,23.0,1.0,2.0,,10.0,7.0,493.0
BIHAR,SITAMARHI,2005,63.0,32.0,51.0,23.0,21.0,18.0,206.0,245.0,51.0,29.0,12.0,93.0,32.0,12.0,,64.0,39.0,2687.0
BIHAR,SIWAN,2005,93.0,27.0,33.0,26.0,50.0,119.0,212.0,182.0,15.0,70.0,23.0,253.0,31.0,8.0,1.0,60.0,66.0,2190.0
BIHAR,SUPAUL,2005,34.0,40.0,5.0,19.0,38.0,36.0,103.0,223.0,7.0,9.0,5.0,3.0,7.0,,,12.0,15.0,1224.0
BIHAR,VAISHALI,2005,69.0,13.0,51.0,82.0,14.0,50.0,377.0,105.0,72.0,109.0,32.0,306.0,72.0,36.0,,74.0,137.0,3522.0
CHHATTISGARH,BALRAMPUR,2005,29.0,36.0,1.0,4.0,16.0,14.0,19.0,24.0,2.0,,6.0,40.0,,20.0,5.0,13.0,19.0,521.0
CHHATTISGARH,BILASPUR,2005,94.0,77.0,36.0,,4.0,50.0,779.0,152.0,8.0,56.0,19.0,368.0,18.0,154.0,19.0,117.0,197.0,5477.0
CHHATTISGARH,BIJAPUR,2005,76.0,5.0,,1.0,61.0,4.0,6.0,13.0,1.0,3.0,10.0,22.0,,3.0,,,7.0,401.0
CHHATTISGARH,DANTEWADA,2005,73.0,15.0,5.0,1.0,13.0,3.0,58.0,12.0,1.0,4.0,4.0,56.0,,12.0,,2.0,41.0,698.0
CHHATTISGARH,DHAMTARI,2005,11.0,26.0,9.0,,,3.0,128.0,20.0,3.0,5.0,6.0,90.0,2.0,80.0,11.0,15.0,81.0,1309.0
CHHATTISGARH,DURG,2005,90.0,128.0,19.0,9.0,1.0,71.0,950.0,54.0,12.0,76.0,32.0,494.0,14.0,216.0,23.0,107.0,276.0,6647.0
CHHATTISGARH,RAIPUR,2005,5.0,2.0,1.0,,,6.0,238.0,5.0,,1.0,1.0,17.0,2.0,6.0,,2.0,2.0,385.0
CHHATTISGARH,BASTAR,2005,63.0,74.0,,9.0,8.0,12.0,173.0,54.0,1.0,31.0,7.0,170.0,3.0,50.0,2.0,24.0,127.0,2087.0
CHHATTISGARH,JANJGIR-CHAMPA,2005,50.0,43.0,5.0,5.0,3.0,8.0,301.0,102.0,8.0,25.0,6.0,273.0,12.0,77.0,8.0,104.0,106.0,2705.0
CHHATTISGARH,JASHPUR,2005,63.0,68.0,18.0,1.0,7.0,34.0,72.0,16.0,3.0,22.0,5.0,145.0,3.0,45.0,10.0,6.0,46.0,959.0
CHHATTISGARH,KABIRDHAM,2005,16.0,24.0,4.0,,,1.0,119.0,23.0,,8.0,6.0,332.0,1.0,55.0,3.0,31.0,22.0,1119.0
CHHATTISGARH,KANKER,2005,40.0,32.0,9.0,2.0,28.0,14.0,64.0,37.0,2.0,4.0,17.0,68.0,,26.0,,9.0,47.0,1022.0
CHHATTISGARH,KORBA,2005,35.0,27.0,2.0,1.0,2.0,15.0,322.0,33.0,1.0,20.0,10.0,419.0,7.0,48.0,4.0,29.0,132.0,2083.0
CHHATTISGARH,KORIYA,2005,34.0,51.0,5.0,,4.0,15.0,128.0,27.0,1.0,15.0,4.0,150.0,3.0,64.0,1.0,43.0,66.0,1343.0
CHHATTISGARH,MAHASAMUND,2005,19.0,25.0,5.0,2.0,2.0,10.0,219.0,13.0,6.0,21.0,9.0,213.0,3.0,81.0,6.0,23.0,92.0,1551.0
CHHATTISGARH,NARAYANPUR,2005,13.0,1.0,,,24.0,7.0,6.0,1.0,3.0,,6.0,19.0,,6.0,,1.0,5.0,163.0
CHHATTISGARH,RAIGARH,2005,62.0,35.0,11.0,,8.0,30.0,430.0,61.0,10.0,22.0,14.0,159.0,9.0,64.0,2.0,32.0,144.0,2234.0
CHHATTISGARH,RAIPUR,2005,92.0,125.0,41.0,5.0,4.0,42.0,1027.0,101.0,38.0,80.0,19.0,373.0,16.0,235.0,29.0,94.0,352.0,7454.0
CHHATTISGARH,RAJNANDGAON,2005,40.0,81.0,6.0,2.0,7.0,16.0,234.0,29.0,2.0,16.0,17.0,121.0,5.0,69.0,6.0,25.0,124.0,2419.0
CHHATTISGARH,SURGUJA,2005,52.0,74.0,,19.0,10.0,28.0,198.0,70.0,4.0,18.0,12.0,96.0,1.0,77.0,1.0,31.0,53.0,1843.0
CHHATTISGARH,SURAJPUR,2005,56.0,41.0,7.0,1.0,2.0,18.0,129.0,46.0,4.0,4.0,4.0,109.0,1.0,62.0,2.0,24.0,65.0,1213.0
GOA,NORTH GOA,2005,22.0,11.0,4.0,3.0,1.0,15.0,290.0,32.0,30.0,30.0,7.0,89.0,,15.0,6.0,7.0,123.0,1305.0
GOA,SOUTH GOA,2005,23.0,9.0,8.0,2.0,1.0,13.0,205.0,13.0,20.0,28.0,5.0,66.0,2.0,15.0,2.0,4.0,86.0,814.0
GUJARAT,AHMEDABAD,2005,76.0,35.0,136.0,83.0,23.0,159.0,5359.0,150.0,267.0,344.0,6.0,1361.0,1.0,54.0,26.0,745.0,188.0,17468.0
GUJARAT,AHMEDABAD,2005,28.0,7.0,26.0,3.0,9.0,29.0,242.0,48.0,38.0,9.0,5.0,310.0,,15.0,,72.0,279.0,2925.0
GUJARAT,AHWA-DANG,2005,5.0,5.0,,,,1.0,3.0,3.0,4.0,2.0,,30.0,,5.0,,5.0,17.0,146.0
GUJARAT,AMRELI,2005,24.0,11.0,47.0,2.0,3.0,18.0,186.0,28.0,31.0,10.0,15.0,286.0,2.0,18.0,1.0,127.0,97.0,3578.0
GUJARAT,ANAND,2005,20.0,7.0,20.0,4.0,8.0,17.0,320.0,20.0,68.0,19.0,9.0,333.0,1.0,28.0,2.0,97.0,182.0,3077.0
GUJARAT,BHARUCH,2005,35.0,8.0,15.0,8.0,8.0,14.0,323.0,29.0,56.0,9.0,12.0,335.0,,16.0,5.0,46.0,211.0,2688.0
GUJARAT,BHAVNAGAR,2005,66.0,14.0,70.0,15.0,30.0,164.0,1116.0,190.0,91.0,155.0,41.0,93.0,3.0,79.0,33.0,216.0,3.0,7586.0
GUJARAT,DAHOD,2005,48.0,9.0,26.0,3.0,20.0,26.0,128.0,54.0,10.0,3.0,14.0,279.0,,28.0,,28.0,,1523.0
GUJARAT,GANDHINAGAR,2005,20.0,9.0,20.0,9.0,5.0,23.0,395.0,19.0,12.0,37.0,16.0,237.0,4.0,8.0,4.0,101.0,151.0,2646.0
GUJARAT,SABARKANTHA,2005,26.0,12.0,31.0,1.0,15.0,20.0,222.0,60.0,47.0,25.0,16.0,349.0,,42.0,,147.0,237.0,4380.0
GUJARAT,JAMNAGAR,2005,41.0,14.0,15.0,5.0,1.0,14.0,402.0,45.0,48.0,26.0,11.0,366.0,,15.0,3.0,188.0,4.0,3882.0
GUJARAT,JUNAGADH,2005,33.0,13.0,32.0,6.0,6.0,43.0,469.0,67.0,68.0,37.0,17.0,487.0,5.0,54.0,9.0,421.0,210.0,5786.0
GUJARAT,KHEDA,2005,30.0,14.0,29.0,1.0,7.0,18.0,336.0,42.0,33.0,19.0,8.0,316.0,,39.0,,155.0,216.0,3997.0
GUJARAT,KUTCH,2005,35.0,9.0,36.0,9.0,9.0,33.0,411.0,61.0,34.0,72.0,9.0,424.0,4.0,42.0,2.0,234.0,260.0,4421.0
GUJARAT,MEHSANA,2005,30.0,6.0,47.0,8.0,19.0,55.0,599.0,71.0,48.0,70.0,10.0,488.0,1.0,25.0,,221.0,151.0,4792.0
GUJARAT,NARMADA,2005,15.0,6.0,1.0,,4.0,2.0,30.0,19.0,5.0,1.0,3.0,92.0,,2.0,,4.0,36.0,1049.0
GUJARAT,NAVSARI,2005,14.0,6.0,5.0,1.0,4.0,7.0,95.0,5.0,19.0,12.0,1.0,83.0,2.0,3.0,,31.0,,1246.0
GUJARAT,BANASKANTHA,2005,40.0,11.0,21.0,2.0,11.0,20.0,306.0,34.0,12.0,39.0,14.0,980.0,1.0,26.0,,79.0,184.0,3845.0
GUJARAT,PANCHMAHAL,2005,50.0,12.0,28.0,4.0,5.0,23.0,251.0,28.0,39.0,14.0,16.0,204.0,1.0,75.0,3.0,86.0,,3259.0
GUJARAT,PATAN,2005,24.0,6.0,19.0,3.0,6.0,13.0,303.0,38.0,27.0,5.0,23.0,305.0,,24.0,,111.0,95.0,2646.0
GUJARAT,PORBANDAR,2005,10.0,1.0,8.0,1.0,,13.0,61.0,7.0,11.0,7.0,6.0,128.0,1.0,5.0,,36.0,58.0,1086.0
GUJARAT,RAJKOT,2005,24.0,7.0,33.0,4.0,7.0,31.0,989.0,64.0,39.0,47.0,5.0,333.0,,7.0,7.0,153.0,93.0,3934.0
GUJARAT,RAJKOT,2005,35.0,18.0,48.0,8.0,6.0,27.0,369.0,76.0,135.0,29.0,20.0,443.0,4.0,39.0,1.0,278.0,220.0,4809.0
GUJARAT,SURAT,2005,86.0,23.0,72.0,42.0,22.0,56.0,1797.0,118.0,65.0,202.0,8.0,637.0,12.0,50.0,4.0,190.0,404.0,5273.0
GUJARAT,SURAT,2005,46.0,9.0,14.0,,12.0,17.0,181.0,27.0,14.0,26.0,8.0,198.0,5.0,4.0,,23.0,334.0,2246.0
GUJARAT,SURENDRANAGAR,2005,30.0,13.0,31.0,7.0,8.0,23.0,305.0,77.0,40.0,8.0,7.0,494.0,,36.0,1.0,90.0,151.0,3526.0
GUJARAT,VADODARA,2005,26.0,5.0,26.0,13.0,6.0,20.0,1341.0,174.0,34.0,192.0,6.0,300.0,,13.0,2.0,136.0,122.0,5276.0
GUJARAT,VADODARA,2005,70.0,21.0,36.0,1.0,9.0,16.0,166.0,40.0,38.0,15.0,12.0,339.0,,25.0,,38.0,213.0,3023.0
GUJARAT,VALSAD,2005,34.0,11.0,20.0,5.0,17.0,17.0,319.0,29.0,24.0,38.0,2.0,241.0,1.0,17.0,,31.0,,1694.0
HARYANA,AMBALA,2005,24.0,19.0,19.0,5.0,1.0,15.0,275.0,2.0,48.0,66.0,8.0,254.0,9.0,19.0,16.0,130.0,2.0,2064.0
HARYANA,BHIWANI,2005,47.0,18.0,22.0,2.0,3.0,19.0,389.0,134.0,30.0,52.0,6.0,262.0,19.0,20.0,16.0,87.0,5.0,2184.0
HARYANA,FARIDABAD,2005,76.0,39.0,67.0,24.0,2.0,30.0,1130.0,190.0,126.0,43.0,8.0,349.0,18.0,42.0,253.0,188.0,23.0,5051.0
HARYANA,FATEHABAD,2005,21.0,9.0,15.0,5.0,,6.0,157.0,11.0,11.0,116.0,4.0,185.0,5.0,17.0,8.0,66.0,4.0,1282.0
HARYANA,HARYANA_GRP,2005,13.0,2.0,2.0,,1.0,5.0,195.0,11.0,4.0,5.0,,21.0,7.0,2.0,116.0,,17.0,859.0
HARYANA,GURGAON,2005,65.0,17.0,22.0,16.0,8.0,40.0,1462.0,67.0,45.0,124.0,5.0,121.0,10.0,20.0,31.0,71.0,15.0,3969.0
HARYANA,HISAR,2005,51.0,25.0,9.0,13.0,3.0,28.0,526.0,45.0,15.0,148.0,10.0,333.0,19.0,31.0,6.0,139.0,,2709.0
HARYANA,JHAJJAR,2005,60.0,13.0,10.0,4.0,1.0,28.0,203.0,53.0,28.0,37.0,5.0,115.0,11.0,16.0,20.0,86.0,127.0,1343.0
HARYANA,JIND,2005,37.0,14.0,6.0,6.0,1.0,10.0,210.0,69.0,27.0,20.0,7.0,125.0,17.0,2.0,17.0,35.0,2.0,1231.0
HARYANA,KAITHAL,2005,23.0,19.0,9.0,2.0,1.0,6.0,197.0,,48.0,21.0,2.0,211.0,6.0,9.0,,115.0,3.0,1286.0
HARYANA,KARNAL,2005,46.0,50.0,19.0,12.0,5.0,27.0,648.0,44.0,12.0,128.0,4.0,776.0,14.0,39.0,2.0,236.0,235.0,2990.0
HARYANA,KURUKSHETRA,2005,25.0,24.0,9.0,6.0,16.0,18.0,412.0,,4.0,39.0,6.0,180.0,5.0,24.0,15.0,99.0,,2164.0
HARYANA,MAHENDRAGARH,2005,12.0,15.0,9.0,4.0,2.0,6.0,126.0,49.0,23.0,6.0,5.0,120.0,6.0,13.0,,20.0,3.0,1084.0
HARYANA,MEWAT,2005,19.0,34.0,3.0,6.0,14.0,10.0,223.0,91.0,10.0,33.0,8.0,183.0,7.0,12.0,5.0,112.0,1.0,1567.0
HARYANA,PANCHKULA,2005,9.0,8.0,13.0,2.0,,3.0,227.0,4.0,7.0,73.0,,31.0,2.0,7.0,18.0,65.0,90.0,1200.0
HARYANA,PANIPAT,2005,42.0,56.0,21.0,14.0,9.0,34.0,583.0,32.0,37.0,13.0,4.0,164.0,11.0,11.0,10.0,127.0,182.0,2138.0
HARYANA,REWARI,2005,33.0,13.0,19.0,1.0,10.0,16.0,256.0,36.0,33.0,20.0,11.0,160.0,9.0,21.0,10.0,50.0,3.0,1753.0
HARYANA,ROHTAK,2005,48.0,29.0,10.0,6.0,3.0,31.0,425.0,37.0,15.0,81.0,9.0,178.0,9.0,17.0,32.0,79.0,158.0,2003.0
HARYANA,SIRSA,2005,31.0,15.0,10.0,6.0,3.0,11.0,256.0,16.0,9.0,50.0,6.0,330.0,10.0,17.0,,119.0,3.0,1667.0
HARYANA,SONIPAT,2005,73.0,28.0,29.0,10.0,2.0,35.0,464.0,8.0,20.0,74.0,6.0,287.0,14.0,21.0,22.0,124.0,210.0,2413.0
HARYANA,YAMUNANAGAR,2005,29.0,14.0,21.0,4.0,3.0,12.0,330.0,,10.0,55.0,5.0,184.0,4.0,20.0,,127.0,,1707.0
HIMACHAL PRADESH,BILASPUR,2005,13.0,8.0,6.0,3.0,1.0,1.0,59.0,28.0,8.0,22.0,20.0,58.0,,30.0,,27.0,44.0,1165.0
HIMACHAL PRADESH,CHAMBA,2005,9.0,12.0,8.0,,,1.0,36.0,12.0,1.0,1.0,11.0,58.0,1.0,20.0,,10.0,31.0,580.0
HIMACHAL PRADESH,HIMACHAL PRADESH_GRP,2005,,,,,,,5.0,,,,,,,,,,,10.0
HIMACHAL PRADESH,HAMIRPUR,2005,4.0,4.0,4.0,,,,42.0,32.0,11.0,20.0,10.0,245.0,,11.0,4.0,21.0,35.0,983.0
HIMACHAL PRADESH,KANGRA,2005,21.0,23.0,18.0,4.0,2.0,4.0,99.0,97.0,3.0,31.0,15.0,218.0,,27.0,8.0,48.0,1.0,2023.0
HIMACHAL PRADESH,KINNAUR,2005,3.0,4.0,3.0,,1.0,1.0,10.0,10.0,,,,14.0,,6.0,1.0,6.0,14.0,231.0
HIMACHAL PRADESH,KULLU,2005,10.0,19.0,24.0,,1.0,8.0,77.0,49.0,2.0,4.0,2.0,52.0,,23.0,,12.0,43.0,870.0
HIMACHAL PRADESH,LAHAUL & SPITI,2005,,,1.0,,,,2.0,,1.0,,,3.0,,,,1.0,9.0,51.0
HIMACHAL PRADESH,MANDI,2005,7.0,8.0,8.0,2.0,,2.0,62.0,46.0,5.0,16.0,16.0,156.0,,70.0,4.0,20.0,62.0,1712.0
HIMACHAL PRADESH,SHIMLA,2005,15.0,32.0,10.0,4.0,,3.0,147.0,122.0,32.0,36.0,8.0,78.0,,51.0,7.0,29.0,78.0,2009.0
HIMACHAL PRADESH,SIRMAUR,2005,12.0,11.0,8.0,1.0,,,33.0,58.0,2.0,11.0,4.0,40.0,,20.0,4.0,21.0,50.0,720.0
HIMACHAL PRADESH,SOLAN,2005,6.0,15.0,8.0,1.0,,2.0,63.0,65.0,11.0,9.0,5.0,345.0,1.0,22.0,1.0,19.0,71.0,1236.0
HIMACHAL PRADESH,UNA,2005,10.0,5.0,4.0,1.0,1.0,,61.0,39.0,6.0,13.0,6.0,92.0,,6.0,,14.0,42.0,755.0
JAMMU & KASHMIR,ANANTNAG,2005,37.0,9.0,78.0,5.0,4.0,22.0,122.0,47.0,12.0,19.0,29.0,19.0,,63.0,35.0,1.0,23.0,1530.0
JAMMU & KASHMIR,PULWAMA,2005,29.0,7.0,9.0,2.0,,1.0,50.0,17.0,,9.0,,,,25.0,3.0,,,410.0
JAMMU & KASHMIR,BARAMULLA,2005,78.0,16.0,97.0,12.0,,11.0,166.0,134.0,10.0,13.0,24.0,15.0,,166.0,36.0,,,1701.0
JAMMU & KASHMIR,BORDER,2005,7.0,5.0,8.0,1.0,,,24.0,19.0,2.0,3.0,2.0,8.0,,7.0,5.0,,33.0,522.0
JAMMU & KASHMIR,BUDGAM,2005,27.0,6.0,55.0,8.0,1.0,2.0,141.0,118.0,3.0,9.0,13.0,5.0,,75.0,17.0,,22.0,965.0
JAMMU & KASHMIR,JAMMU,2005,2.0,,,,,,,,,43.0,,,,,,,,46.0
JAMMU & KASHMIR,SRINAGAR,2005,,,,,,,,,7.0,85.0,,,,,,,,93.0
JAMMU & KASHMIR,DODA,2005,66.0,7.0,14.0,,,,48.0,24.0,6.0,3.0,15.0,36.0,,6.0,2.0,1.0,27.0,683.0
JAMMU & KASHMIR,GANDERBAL,2005,13.0,5.0,38.0,1.0,,7.0,60.0,52.0,4.0,7.0,16.0,1.0,,42.0,4.0,,11.0,498.0
JAMMU & KASHMIR,KUPWARA,2005,17.0,10.0,27.0,3.0,,6.0,41.0,41.0,,11.0,5.0,6.0,,44.0,3.0,1.0,1.0,494.0
JAMMU & KASHMIR,JAMMU,2005,22.0,20.0,40.0,2.0,1.0,1.0,382.0,69.0,17.0,64.0,9.0,32.0,4.0,22.0,36.0,28.0,149.0,3085.0
JAMMU & KASHMIR,KARGIL,2005,,1.0,2.0,,,,4.0,2.0,3.0,3.0,1.0,,,3.0,,,9.0,93.0
JAMMU & KASHMIR,KATHUA,2005,12.0,12.0,12.0,4.0,,2.0,23.0,15.0,6.0,2.0,6.0,23.0,,7.0,8.0,4.0,68.0,967.0
JAMMU & KASHMIR,KULGAM,2005,39.0,12.0,35.0,8.0,,11.0,55.0,60.0,1.0,8.0,9.0,7.0,,22.0,3.0,1.0,12.0,584.0
JAMMU & KASHMIR,KUPWARA,2005,22.0,11.0,33.0,7.0,,,49.0,96.0,8.0,7.0,16.0,1.0,,40.0,5.0,,,675.0
JAMMU & KASHMIR,LEH,2005,1.0,5.0,3.0,,,,9.0,13.0,1.0,3.0,,,,4.0,,,,174.0
JAMMU & KASHMIR,POONCH,2005,35.0,7.0,14.0,2.0,,,60.0,50.0,5.0,8.0,10.0,30.0,,11.0,1.0,7.0,10.0,641.0
JAMMU & KASHMIR,PULWAMA,2005,42.0,7.0,36.0,1.0,1.0,14.0,109.0,191.0,3.0,10.0,10.0,71.0,,40.0,4.0,,13.0,922.0
JAMMU & KASHMIR,JAMMU & KASHMIR_GRP,2005,,,1.0,,,,9.0,,,,1.0,,,,,,1.0,21.0
JAMMU & KASHMIR,RAJOURI,2005,51.0,21.0,23.0,,,2.0,61.0,91.0,3.0,13.0,29.0,39.0,,15.0,7.0,14.0,36.0,1168.0
JAMMU & KASHMIR,RAMBAN,2005,50.0,6.0,10.0,2.0,2.0,,43.0,14.0,1.0,9.0,9.0,8.0,,4.0,1.0,4.0,1.0,648.0
JAMMU & KASHMIR,REASI,2005,33.0,1.0,11.0,1.0,,,20.0,,1.0,1.0,6.0,3.0,,2.0,3.0,1.0,,316.0
JAMMU & KASHMIR,SRINAGAR,2005,52.0,18.0,103.0,29.0,4.0,36.0,361.0,147.0,15.0,63.0,29.0,36.0,,219.0,181.0,11.0,44.0,2883.0
JAMMU & KASHMIR,UDHAMPUR,2005,12.0,15.0,9.0,2.0,,1.0,64.0,22.0,9.0,10.0,1.0,15.0,1.0,13.0,17.0,3.0,2.0,996.0
JHARKHAND,BOKARO,2005,49.0,36.0,41.0,2.0,34.0,45.0,576.0,128.0,,55.0,25.0,,19.0,,7.0,47.0,15.0,2411.0
JHARKHAND,PASHCHIMI SINGHBHUM,2005,115.0,53.0,,2.0,11.0,21.0,140.0,27.0,11.0,11.0,5.0,68.0,,2.0,7.0,11.0,8.0,1004.0
JHARKHAND,CHATRA,2005,27.0,11.0,2.0,7.0,15.0,20.0,88.0,82.0,,2.0,1.0,,14.0,1.0,,3.0,10.0,716.0
JHARKHAND,DEOGHAR,2005,51.0,46.0,1.0,9.0,10.0,15.0,166.0,164.0,14.0,29.0,7.0,199.0,3.0,15.0,2.0,19.0,11.0,1385.0
JHARKHAND,DHANBAD,2005,97.0,32.0,58.0,10.0,71.0,52.0,722.0,296.0,24.0,79.0,8.0,481.0,48.0,16.0,7.0,31.0,7.0,3645.0
JHARKHAND,DHANBAD,2005,5.0,2.0,1.0,1.0,22.0,22.0,18.0,4.0,2.0,3.0,,,3.0,,,,2.0,103.0
JHARKHAND,DUMKA,2005,52.0,38.0,9.0,14.0,10.0,5.0,176.0,135.0,4.0,16.0,23.0,146.0,12.0,11.0,7.0,38.0,65.0,1571.0
JHARKHAND,GARHWA,2005,47.0,17.0,,20.0,8.0,17.0,77.0,132.0,,20.0,,8.0,17.0,,2.0,15.0,7.0,964.0
JHARKHAND,GIRIDIH,2005,63.0,28.0,39.0,2.0,53.0,36.0,306.0,222.0,7.0,13.0,4.0,67.0,24.0,54.0,,44.0,84.0,2356.0
JHARKHAND,GODDA,2005,44.0,46.0,,29.0,6.0,11.0,117.0,142.0,8.0,30.0,30.0,71.0,8.0,28.0,,39.0,15.0,1273.0
JHARKHAND,GUMLA,2005,140.0,45.0,10.0,7.0,26.0,27.0,61.0,31.0,7.0,5.0,7.0,1.0,2.0,10.0,,6.0,10.0,787.0
JHARKHAND,HAZARIBAGH,2005,104.0,57.0,32.0,23.0,99.0,82.0,726.0,279.0,16.0,66.0,17.0,45.0,31.0,32.0,,55.0,15.0,3189.0
JHARKHAND,EAST SINGHBHUM,2005,87.0,37.0,9.0,34.0,17.0,49.0,834.0,85.0,60.0,118.0,10.0,223.0,10.0,34.0,1.0,56.0,173.0,3143.0
